Z(f=1000),Z(f=10000),Z(f=100),θ(f=100),θ(f=10000),θ(f=1000),Temperature,Concentration,R contact
21325.52824,6935.160333,95093.89167,-52.68631755,-29.06449868,-53.01381129,18.9,0,3921.15
24205.52156,8148.748104,114562.698,-52.50693644,-26.60039418,-54.21798103,19,0,5010.361568
24636.0344,8165.534213,128152.3481,-53.07942199,-25.84140372,-56.46128071,18.8,0,5295.941118
20890.29592,7699.904282,72165.42646,-42.46355443,-26.29757129,-45.92589386,19.1,0,3978.174581
20712.88848,7534.987864,78546.69499,-42.29859262,-23.99531557,-49.20356757,18.6,0,4885.237875
19988.81613,7282.756542,80855.09751,-48.10181476,-26.82382836,-49.45111526,18.6,0,3951.472146
18279.97595,7971.779633,93376.96746,-60.95377859,-18.46582571,-49.71135457,14,25,5951.784593
21163.32398,8869.244341,111046.0865,-60.03470462,-19.65943672,-50.67521781,13.4,25,6421.698369
19376.84996,8779.350488,103375.4974,-61.889814,-17.73352286,-49.04234699,13.3,25,6625.511608
19398.18352,8923.184079,70726.21376,-46.66720168,-16.84674335,-44.32309406,13.7,25,5951.895061
18137.40027,8826.033412,79149.29644,-51.72403752,-16.15035679,-44.40446211,13.9,25,6706.955398
17646.4986,7931.841376,80103.16276,-56.86851927,-19.51417326,-46.28680555,14.6,25,5308.207188
19189.04024,6324.482719,84886.29379,-50.63553714,-27.8442269,-52.99480232,18.6,50,3658.908019
21155.17217,6904.300115,90201.34915,-48.65799431,-28.94396363,-52.4582448,18.7,50,3828.314301
20456.10976,6562.445158,86666.4055,-47.81271567,-29.51189472,-52.59409034,18.4,50,3611.805754
20908.83547,7185.464327,79531.26949,-44.69894341,-25.97452156,-50.69834377,18.7,50,3993.316306
19678.10152,6727.107312,73605.87547,-41.478519,-25.67081485,-51.05558235,18.9,50,4095.732793
18305.24532,6319.047724,68417.09761,-45.42472231,-26.03763491,-50.53920805,18.7,50,3602.168728
17250.40549,6950.035374,82382.90893,-58.36901639,-18.24863563,-51.91449431,17.2,75,5245.497585
17411.20375,8119.219763,76453.75885,-52.68644945,-17.28207016,-45.53820561,17.1,75,5947.783227
15847.38182,7517.608589,64671.98362,-52.57854681,-17.15854695,-44.03235388,17.2,75,5387.429473
16718.38059,7412.960228,57309.54767,-44.08514055,-16.94919962,-44.33035871,16.9,75,5212.43107
15964.55912,7730.988742,62496.13454,-46.25676355,-15.75210437,-43.70393639,16.6,75,5818.884303
16001.54939,7542.093393,75468.85482,-56.35680803,-16.35680325,-47.30339369,15.9,75,5433.626035
15608.17235,6019.534302,57129.22163,-43.28131208,-21.82547585,-47.79593553,19.1,100,3917.447692
16986.8483,6620.844544,68277.64329,-46.54759441,-21.83905711,-48.6871305,18.9,100,4329.912328
16639.7173,6633.114131,69806.66243,-48.260117,-20.5769935,-49.38527488,18.9,100,4525.973724
16786.22153,7442.402399,65049.84376,-46.56675061,-18.83946169,-45.59687723,19,100,4532.466193
16657.09483,6402.363571,63876.88084,-43.35606236,-21.71773305,-48.29574823,18.8,100,4167.603515
16413.24168,6222.478431,73255.46055,-49.93774281,-23.05261752,-50.72959414,18.7,100,3883.01392
13020.11352,6458.185774,50919.94677,-53.04412183,-15.12448357,-42.9702823,16.6,125,4762.597863
15614.45848,6971.354238,62143.00457,-51.76265736,-17.58874937,-45.41580859,16.2,125,4970.406014
14983.50082,6899.269415,67496.16826,-56.14116249,-17.70596409,-46.27456352,16.9,125,4830.082019
15822.77463,7985.849183,68397.31208,-55.33271423,-14.30596325,-44.45182696,16.6,125,5951.291232
14931.47828,6774.732518,66579.92722,-55.96374569,-17.40902732,-46.77836691,16.5,125,4771.237573
15597.06722,6222.897848,75681.23386,-57.7193929,-20.66734476,-52.04376583,16.3,125,4076.50862
14109.91646,5241.389363,68628.65818,-59.07266983,-23.7775413,-51.38247619,18.6,150,3139.648192
16130.04082,5830.121298,71837.64486,-55.61591275,-25.0646879,-50.35103403,19,150,3352.594879
15163.18767,5670.015697,64491.10692,-56.163376,-23.2968086,-49.68893096,18.9,150,3376.31838
15863.95935,7071.882053,72812.40382,-55.81715379,-18.6332309,-47.51427834,18.5,150,4192.488069
15037.48624,5475.770092,61067.00253,-47.1280089,-23.54020515,-50.02627784,18.7,150,3380.263587
14602.05181,5073.03522,59543.65303,-51.74127258,-24.34814313,-51.70673405,19.3,150,2791.877019
